salaryStart,salaryEnd,monthlySalaryCredit,totalContributionEmployer,totalContributionEmployee,totalContribution
1,3250,3000,265,135,400
3250,3749.99,3500,307.5,157.5,465
3750,4249.99,4000,350,180,530
4250,4749.99,4500,392.5,202.5,595
4750,5249.99,5000,435,225,660
5250,5749.99,5500,477.5,247.5,725
5750,6249.99,6000,520,270,790
6250,6749.99,6500,562.5,292.5,855
6750,7249.99,7000,605,315,920
7250,7749.99,7500,647.5,337.5,985
7750,8249.99,8000,690,360,1050
8250,8749.99,8500,732.5,382.5,1115
8750,9249.99,9000,775,405,1180
9250,9749.99,9500,817.5,427.5,1245
9750,10249.99,10000,860,450,1310
10250,10749.99,10500,902.5,472.5,1375
10750,11249.99,11000,945,495,1440
11250,11749.99,11500,987.5,517.5,1505
11750,12249.99,12000,1030,540,1570
12250,12749.99,12500,1072.5,562.5,1635
12750,13249.99,13000,1115,585,1700
13250,13749.99,13500,1157.5,607.5,1765
13750,14249.99,14000,1200,630,1830
14250,14749.99,14500,1242.5,652.5,1895
14750,15249.99,15000,1305,675,1980
15250,15749.99,15500,1347.5,697.5,2045
15750,16249.99,16000,1390,720,2110
16250,16749.99,16500,1432.5,742.5,2175
16750,17249.99,17000,1475,765,2240
17250,17749.99,17500,1517.5,787.5,2305
17750,18249.99,18000,1560,810,2370
18250,18749.99,18500,1602.5,832.5,2435
18750,19249.99,19000,1645,855,2500
19250,19749.99,19500,1687.5,877.5,2565
19750,20249.99,20000,1730,900,2630
20250,20749.99,20000,1772.5,922.5,2695
20750,21249.99,20000,1815,945,2760
21250,21749.99,20000,1857.5,967.5,2825
21750,22249.99,20000,1900,990,2890
22250,22749.99,20000,1942.5,1012.5,2955
22750,23249.99,20000,1985,1035,3020
23250,23749.99,20000,2027.5,1057.5,3085
23750,24249.99,20000,2070,1080,3150
24250,24749.99,20000,2112.5,1102.5,3215
24750,100000,20000,2155,1125,3280
